,sigla_partido_antiga,sigla_partido_nova
0,APOIO,Governo
1,AVANTE,Avante
2,Avante,Avante
3,PTDO,Avante
4,PTdoB,Avante
5,PTDOB,Avante
6,TDO,Avante
7,CIDA,Cidadania
8,CIDADANIA,Cidadania
9,Cidadania,Cidadania
10,PPS,Cidadania
11,pps,Cidadania
12,DC,DC
13,PSDC,DC
14,DEM,DEM
15,dem,DEM
16,Democratas,DEM
17,PFL,DEM
18,GOV,Governo
19,GOVERNO,Governo
20,Governo,Governo
21,MAIORIA,Maioria
22,Maioria,Maioria
23,MDB,MDB
24,Movimento Democrático Brasileiro,MDB
25,PMBD,MDB
26,PMDB,MDB
27,pmdb,MDB
28,MINORIA,Minoria
29,Minoria,Minoria
30,NI,NI
31,NOVO,NOVO
32,Partido Novo,NOVO
33,OPOSI,Oposicao
34,Oposicao,Oposicao
35,Oposição,Oposicao
36,PAN,PAN
37,PATRI,Patriota
38,PATRIOTA,Patriota
39,Patriota,Patriota
40,PEN,Patriota
41,PCB,PCB
42,CDO,PCdoB
43,Partido Comunista do Brasil,PCdoB
44,PC DO  B,PCdoB
45,PC do B,PCdoB
46,PC DOB,PCdoB
47,PCDB,PCdoB
48,PCdoB,PCdoB
49,PCDOB,PCdoB
50,PDB,PDB
51,PDC,PDC
52,PDS,PDS
53,Partido Democrático Trabalhista,PDT
54,PDT,PDT
55,pdt,PDT
56,Partido Humanista da Solidariedade,PHS
57,PHS,PHS
58,PJ,PJ
59,PL,PL
60,PL*,PL
61,Partido da República,PL
62,PR,PL
63,PLP,PLP
64,PMB,PMB
65,PBDB,PMDB
66,Partido da Mobilização Nacional,PMN
67,PMN,PMN
68,PMR,PMR
69,PODE,Podemos
70,PODEMOS,Podemos
71,Podemos,Podemos
72,PTN,Podemos
73,PPB,PPB
74,PPL,PPL
75,PPR,PPR
76,Partido Republicano Brasileiro,Republicanos
77,PRB,Republicanos
78,prb,Republicanos
79,pRB,Republicanos
80,PRN,PRN
81,PP,Progressistas
82,pp,Progressistas
83,PP*,Progressistas
84,PP**,Progressistas
85,Progressistas,Progressistas
86,PRONA,PRONA
87,Partido Republicano da Ordem Social,PROS
88,PROS,PROS
89,Partido Republicano Progressista,PRP
90,PRP,PRP
91,PRS,PRS
92,PRTB,PRTB
93,Partido Socialista Brasileiro,PSB
94,PSB,PSB
95,Partido Social Cristão,PSC
96,PSC,PSC
97,Partido Social Democrático,PSD
98,PSD,PSD
99,Partido da Social Democracia Brasileira,PSDB
100,PSBB,PSDB
101,PSBD,PSDB
102,PSDB,PSDB
103,psdb,PSDB
104,Partido Social Liberal,PSL
105,PSL,PSL
106,Partido Socialismo e Liberdade,PSOL
107,PSOL,PSOL
108,PST,PST
109,PSTU,PSTU
110,Partido dos Trabalhadores,PT
111,PT,PT
112,pt,PT
113,PT -,PT
114,Partido Trabalhista Brasileiro,PTB
115,PTB,PTB
116,PTC,PTC
117,PTR,PTR
118,Partido Verde,PV
119,PV,PV
120,REDE,REDE
121,Rede,REDE
122,Rede Sustentabilidade,REDE
123,S Partido,S.PART.
124,S.PART,S.PART.
125,S.PART.,S.PART.
126,S.Part.,S.PART.
127,S/Part,S.PART.
128,S/Partido,S.PART.
129,S/PARTIDO,S.PART.
130,SPART,S.PART.
131,SD,Solidariedade
132,SDD,Solidariedade
133,SOLIDARI,Solidariedade
134,SOLIDARIED,Solidariedade
135,Solidaried,Solidariedade
136,Solidariedad,Solidariedade
137,SOLIDARIEDADE,Solidariedade
138,Solidariedade,Solidariedade
139,REPUBLICANOS,Republicanos
140,Republican,Republicanos
141,REPUBLICAN,Republicanos
142,Apoio ao Governo,Governo
